户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
3室2厅,中楼层/共26层,84平米,暂无数据/其他,61.8,鸿通大学府文澜院(1期),翠屏区,,,,,7358
3室2厅,中楼层/共9层,73平米,暂无数据/简装,33.8,水井街15号,翠屏区,,,,,4631
3室2厅,中楼层/共33层,77平米,暂无数据/毛坯,46.8,阳光碧水长滩,翠屏区,,,,,6078
2室2厅,高楼层/共10层,69.7平米,暂无数据/简装,32.8,地财大厦,翠屏区,,,,,4706
4室2厅,高楼层/共25层,128平米,暂无数据/毛坯,112.8,丽雅江宸,翠屏区,,,,,8813
3室2厅,高楼层/共30层,104.42平米,暂无数据/精装,81.6,天工凯滨郦景,叙州区,,,,,7815
4室2厅,高楼层/共32层,142平米,暂无数据/其他,158.0,中铁卓越城,翠屏区,,,,,11127
1室1厅,中楼层/共7层,51.37平米,暂无数据/其他,33.8,安阜五粮液宿舍,翠屏区,,,,,6580
3室2厅,低楼层/共30层,94平米,暂无数据/其他,85.8,邦泰国际社区北区,翠屏区,,,,,9128
3室2厅,低楼层/共29层,84平米,暂无数据/其他,44.8,锦宏金沙明珠,叙州区,,,,,5334
3室2厅,中楼层/共21层,112.46平米,暂无数据/精装,88.0,鲁能鑫菁英,叙州区,,,,,7826
3室2厅,中楼层/共26层,84平米,暂无数据/其他,79.8,鸿通大学府文澜院(1期),翠屏区,,,,,9500
3室2厅,中楼层/共18层,125平米,暂无数据/精装,88.0,江景苑,叙州区,,,,,7040
3室2厅,低楼层/共25层,84平米,暂无数据/精装,77.8,鸿通大学府,翠屏区,,,,,9262
3室2厅,高楼层/共13层,93平米,暂无数据/其他,82.0,华泓华彩城,翠屏区,,,,,8818
2室2厅,高楼层/共39层,90.88平米,暂无数据/其他,60.0,骏逸江南,叙州区,,,,,6603
3室2厅,高楼层/共30层,85平米,暂无数据/精装,80.8,邦泰国际社区北区,翠屏区,,,,,9506
3室2厅,低楼层/共2层,161.82平米,暂无数据/精装,92.0,劳动社保局宿舍,叙州区,,,,,5686
2室2厅,中楼层/共28层,79.54平米,暂无数据/精装,59.6,浩誉江语城,翠屏区,,,,,7494
4室2厅,低楼层/共9层,104.33平米,暂无数据/精装,79.8,太阳岛,翠屏区,,,,,7649
2室2厅,低楼层/共32层,92.04平米,暂无数据/精装,62.0,鑫领寓,叙州区,,,,,6737
2室2厅,中楼层/共21层,78平米,暂无数据/精装,66.8,鲁能鑫菁英,叙州区,,,,,8565
3室2厅,中楼层/共33层,101平米,暂无数据/精装,97.6,铁投三江国际,翠屏区,,,,,9664
3室2厅,低楼层/共32层,125平米,暂无数据/毛坯,110.0,中铁卓越城,翠屏区,,,,,8800
3室2厅,中楼层/共6层,144.72平米,暂无数据/简装,56.8,输气队小区,叙州区,,,,,3925
3室2厅,低楼层/共25层,89平米,暂无数据/精装,88.0,鸿通大学府文澜院(1期),翠屏区,,,,,9888
2室2厅,高楼层/共33层,85.61平米,暂无数据/精装,56.2,拉菲-好望山,叙州区,,,,,6565
3室2厅,高楼层/共16层,77.5平米,暂无数据/精装,69.8,阳光公园首席,翠屏区,,,,,9007
2室1厅,中楼层/共7层,64平米,暂无数据/简装,34.0,温心园,叙州区,,,,,5313
3室2厅,中楼层/共25层,108平米,暂无数据/毛坯,92.8,丽雅江宸,翠屏区,,,,,8593
3室2厅,中楼层/共13层,88平米,暂无数据/简装,78.8,寅吾伊顿公馆,翠屏区,,,,,8955
3室2厅,高楼层/共33层,99.74平米,暂无数据/毛坯,75.6,恒大御景半岛,翠屏区,,,,,7580
2室2厅,高楼层/共25层,76.51平米,暂无数据/简装,45.8,阳光康郡,叙州区,,,,,5987
3室2厅,低楼层/共12层,101平米,暂无数据/其他,62.6,紫荆苑茗园,翠屏区,,,,,6199
3室2厅,中楼层/共33层,90平米,暂无数据/其他,62.8,骏逸江南,叙州区,,,,,6978
3室2厅,低楼层/共32层,130平米,暂无数据/其他,120.0,邦泰天玺,叙州区,,,,,9231
4室2厅,中楼层/共6层,164平米,暂无数据/其他,75.0,绿洲家园一期,叙州区,,,,,4574
3室2厅,中楼层/共17层,89平米,暂无数据/精装,98.0,白沙翡翠城,翠屏区,,,,,11012
3室2厅,高楼层/共18层,93.8平米,暂无数据/其他,58.0,宜都花园,叙州区,,,,,6184
2室1厅,低楼层/共24层,66.9平米,暂无数据/其他,68.0,邦泰国际社区南区,翠屏区,,,,,10165
1室1厅,低楼层/共28层,51平米,暂无数据/其他,40.5,邦泰临港国际,翠屏区,,,,,7942
3室2厅,中楼层/共6层,169平米,暂无数据/其他,62.0,建国路8号,叙州区,,,,,3669
3室2厅,中楼层/共23层,97.77平米,暂无数据/精装,75.0,紫金城一期御园,翠屏区,,,,,7672
3室2厅,低楼层/共28层,131平米,暂无数据/其他,85.0,春江盛景A区,翠屏区,,,,,6489
3室2厅,低楼层/共25层,88平米,暂无数据/其他,50.8,康桥公馆,叙州区,,,,,5773
3室2厅,高楼层/共31层,92.49平米,暂无数据/简装,60.0,港腾邻里城,翠屏区,,,,,6488
3室1厅,低楼层/共6层,55.26平米,暂无数据/其他,31.8,杨公桥生活小区,翠屏区,,,,,5755
2室2厅,高楼层/共26层,74平米,暂无数据/精装,63.8,邦泰临港国际,翠屏区,,,,,8622
3室2厅,中楼层/共33层,101平米,暂无数据/精装,97.6,铁投三江国际,翠屏区,,,,,9664
3室2厅,低楼层/共6层,113平米,暂无数据/其他,48.8,天福南苑A区,叙州区,,,,,4319
2室2厅,高楼层/共25层,92平米,暂无数据/精装,55.8,鑫杰座,叙州区,,,,,6066
3室2厅,中楼层/共33层,76平米,暂无数据/其他,53.8,拉菲-香颂花园,叙州区,,,,,7079
3室2厅,中楼层/共26层,80平米,暂无数据/毛坯,69.8,阳光中央公园,翠屏区,,,,,8725
4室2厅,低楼层/共17层,124平米,暂无数据/精装,120.0,龙源府邸,叙州区,,,,,9678
3室2厅,中楼层/共6层,120平米,暂无数据/其他,98.8,莱茵河畔-玫瑰花园,叙州区,,,,,8234
3室2厅,中楼层/共28层,103.27平米,暂无数据/其他,89.0,浩誉江语城,翠屏区,,,,,8619
3室2厅,中楼层/共32层,133平米,暂无数据/精装,88.0,鑫领寓,叙州区,,,,,6617
2室1厅,中楼层/共13层,77.8平米,暂无数据/其他,42.8,德烨都市名园,翠屏区,,,,,5502
3室2厅,低楼层/共26层,100.11平米,暂无数据/毛坯,85.0,正黄翡翠堂,叙州区,,,,,8491
2室2厅,高楼层/共19层,132.27平米,暂无数据/其他,56.8,北大街,翠屏区,,,,,4295
3室2厅,低楼层/共32层,129.03平米,暂无数据/毛坯,120.0,华润公园九里,翠屏区,,,,,9301
2室2厅,高楼层/共24层,77平米,暂无数据/毛坯,56.8,绿地上海枫林公馆,叙州区,,,,,7377
1室1厅,高楼层/共7层,47平米,暂无数据/简装,16.8,宜宾翠屏区古塔小区,翠屏区,,,,,3575
2室2厅,低楼层/共32层,60.58平米,暂无数据/精装,54.8,远达鹭湖宫二期,叙州区,,,,,9046
3室2厅,高楼层/共18层,90.38平米,暂无数据/其他,50.0,东原观天下,叙州区,,,,,5533
2室1厅,高楼层/共17层,89平米,暂无数据/简装,50.8,鼎业兴城,叙州区,,,,,5708
4室2厅,中楼层/共7层,138.03平米,暂无数据/简装,71.8,绿洲家园二期,叙州区,,,,,5202
2室2厅,高楼层/共26层,71平米,暂无数据/简装,70.0,鲁能山水原著荟,叙州区,,,,,9860
3室2厅,低楼层/共32层,82.88平米,暂无数据/毛坯,55.0,远达未来城三期兰庭,叙州区,,,,,6637
3室2厅,低楼层/共11层,131.02平米,暂无数据/精装,65.0,吉祥名都,叙州区,,,,,4962
4室2厅,低楼层/共33层,105.06平米,暂无数据/精装,69.8,远达香榭里五期,叙州区,,,,,6644
2室2厅,中楼层/共6层,83平米,暂无数据/精装,38.0,银龙天池雅苑,翠屏区,,,,,4579
3室2厅,低楼层/共25层,124平米,暂无数据/精装,69.8,太阳岛,翠屏区,,,,,5630
2室2厅,高楼层/共26层,96.6平米,暂无数据/其他,70.0,地中海蓝湾,翠屏区,,,,,7247
4室2厅,高楼层/共32层,119平米,暂无数据/其他,65.0,远达未来城四期峯汇,叙州区,,,,,5463
3室1厅,高楼层/共30层,111.64平米,暂无数据/精装,124.8,华润公园九里三期,翠屏区,,,,,11179
4室2厅,中楼层/共17层,227平米,暂无数据/其他,163.0,正和五洲庄园,翠屏区,,,,,7181
3室2厅,低楼层/共27层,89平米,暂无数据/其他,68.0,宜宾观江府,翠屏区,,,,,7641
3室2厅,中楼层/共24层,84.77平米,暂无数据/其他,75.8,邦泰国际社区南区,翠屏区,,,,,8942
